concept_id,target_class,auc_original,auc_anchor_swapped,auc_descriptor_rewritten,auc_both_changed
asymmetry,mel,0.4791,0.3709,0.4973,0.3005
border_irregularity,mel,0.5744,0.3679,0.5612,0.3297
colour_variation,mel,0.6412,0.5592,0.5666,0.4213
diameter_large,mel,0.5769,0.4998,0.4807,0.2911
atypical_pigment_network,mel,0.5494,0.5494,0.5494,0.5494
blue_white_veil,mel,0.4552,0.4552,0.4552,0.4552
atypical_vascular_pattern,mel,0.4972,0.3745,0.4727,0.3771
irregular_streaks,mel,0.5679,0.4534,0.5912,0.518
irregular_pigmentation,mel,0.5998,0.4829,0.5731,0.4693
irregular_dots_globules,mel,0.6108,0.4655,0.5982,0.456
regression_structures,mel,0.4811,0.3232,0.6104,0.4708
symmetric_uniform,nv,0.672,0.672,0.672,0.672
reticular_network,nv,0.6254,0.6254,0.6254,0.6254
arborizing_vessels,bcc,0.5021,0.5021,0.5021,0.5021
blue_grey_ovoid_nests,bcc,0.4452,0.4452,0.4452,0.4452
ulceration,bcc,0.605,0.605,0.605,0.605
scaly_surface,akiec,0.6564,0.6564,0.6564,0.6564
strawberry_pattern,akiec,0.6267,0.6267,0.6267,0.6267
milia_like_cysts,bkl,0.7157,0.6691,0.7287,0.6913
comedo_like_openings,bkl,0.6689,0.6172,0.6759,0.6195
cerebriform_surface,bkl,0.6879,0.6879,0.6879,0.6879
central_white_patch,df,0.6906,0.6906,0.6906,0.6906
red_lacunae,vasc,0.5989,0.5989,0.5989,0.5989
healthy_skin,nv,0.6802,0.6802,0.6802,0.6802
