condition,class,support,n_seeds,auc_mean,auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
plain_nam,akiec,62,5,0.8883,0.0042,0.3234,0.015,0.2283,0.0171,0.5645,0.0577
plain_nam,bcc,100,5,0.8983,0.0039,0.409,0.0202,0.3626,0.0287,0.476,0.0531
plain_nam,bkl,218,5,0.7989,0.003,0.4169,0.0108,0.3779,0.0245,0.4688,0.0314
plain_nam,df,28,5,0.8701,0.0066,0.1625,0.0093,0.1026,0.0089,0.4,0.0416
plain_nam,mel,218,5,0.7604,0.0043,0.3399,0.0089,0.2802,0.0156,0.4376,0.0411
plain_nam,nv,1337,5,0.871,0.004,0.7504,0.0114,0.9195,0.0094,0.6343,0.0205
plain_nam,vasc,32,5,0.9775,0.0015,0.5161,0.0285,0.399,0.0272,0.7312,0.025
concurvity_only_lc1,akiec,62,5,0.8746,0.0044,0.3161,0.0148,0.2254,0.0257,0.5452,0.0504
concurvity_only_lc1,bcc,100,5,0.867,0.0137,0.3752,0.022,0.3091,0.0335,0.482,0.0117
concurvity_only_lc1,bkl,218,5,0.7952,0.0048,0.392,0.0097,0.3684,0.0282,0.4266,0.0492
concurvity_only_lc1,df,28,5,0.8535,0.0136,0.1539,0.0074,0.0969,0.007,0.3786,0.0286
concurvity_only_lc1,mel,218,5,0.7506,0.0103,0.3354,0.012,0.2656,0.0136,0.4569,0.0284
concurvity_only_lc1,nv,1337,5,0.8554,0.0063,0.7242,0.0113,0.9158,0.0063,0.5991,0.0169
concurvity_only_lc1,vasc,32,5,0.9751,0.0035,0.4681,0.0539,0.3507,0.0544,0.7125,0.0364
sparsity_only_lc0_warmft,akiec,62,5,0.8587,0.0029,0.2581,0.0163,0.1737,0.0149,0.5065,0.0262
sparsity_only_lc0_warmft,bcc,100,5,0.7864,0.012,0.2034,0.0121,0.2146,0.0176,0.196,0.0224
sparsity_only_lc0_warmft,bkl,218,5,0.749,0.0035,0.3668,0.0138,0.3455,0.0086,0.3917,0.026
sparsity_only_lc0_warmft,df,28,5,0.8165,0.0043,0.1097,0.013,0.0666,0.0077,0.3143,0.0571
sparsity_only_lc0_warmft,mel,218,5,0.6984,0.0077,0.2814,0.0076,0.2203,0.0086,0.3899,0.0058
sparsity_only_lc0_warmft,nv,1337,5,0.7827,0.0069,0.6736,0.0133,0.8909,0.0067,0.5418,0.018
sparsity_only_lc0_warmft,vasc,32,5,0.9062,0.0037,0.2746,0.0117,0.1684,0.0085,0.7438,0.0125
sparsity_conc_lc1_warmft,akiec,62,5,0.8513,0.0037,0.2577,0.0092,0.1745,0.013,0.5032,0.0483
sparsity_conc_lc1_warmft,bcc,100,5,0.8445,0.0094,0.2657,0.0219,0.2438,0.0117,0.296,0.0445
sparsity_conc_lc1_warmft,bkl,218,5,0.7654,0.0042,0.3728,0.0118,0.3456,0.0261,0.411,0.0428
sparsity_conc_lc1_warmft,df,28,5,0.8306,0.0161,0.1314,0.0142,0.078,0.0108,0.4286,0.0226
sparsity_conc_lc1_warmft,mel,218,5,0.7292,0.0024,0.3104,0.0059,0.2465,0.0069,0.4211,0.0262
sparsity_conc_lc1_warmft,nv,1337,5,0.825,0.0064,0.6825,0.023,0.907,0.0047,0.5478,0.0304
sparsity_conc_lc1_warmft,vasc,32,5,0.9604,0.0053,0.3931,0.0196,0.2659,0.0172,0.7562,0.0234
