,consolidation,air_bronchograms,pleural_effusion,focal_opacity,silhouette_sign,patchy_infiltrate,lobar_consolidation,dense_segmental_opacity,parapneumonic_effusion,round_pneumonia,bilateral_interstitial_pattern,peribronchial_cuffing,perihilar_infiltrates,clear_lung_fields,sharp_costophrenic_angles,normal_cardiac_silhouette,symmetric_lung_aeration
consolidation,1.0,0.720541,0.28329,0.589627,0.302454,0.320165,0.850099,0.707331,0.679655,0.739977,0.509135,0.296259,0.360033,-0.377549,-0.397228,-0.505971,-0.392921
air_bronchograms,0.720541,1.0,0.034483,0.601959,-0.059192,0.565409,0.460074,0.496073,0.393748,0.767436,0.364182,0.600947,0.444665,0.079551,0.018371,-0.234369,-0.032667
pleural_effusion,0.28329,0.034483,1.0,0.12788,0.653591,-0.318864,0.378232,0.273513,0.65312,0.113934,-0.164416,-0.237388,-0.362564,-0.322023,-0.096477,-0.164213,-0.272132
focal_opacity,0.589627,0.601959,0.12788,1.0,0.329102,0.690426,0.481983,0.626609,0.466649,0.675775,0.598999,0.572587,0.563735,0.089449,0.016279,-0.055552,0.153034
silhouette_sign,0.302454,-0.059192,0.653591,0.329102,1.0,-0.086665,0.409627,0.356001,0.568401,0.075673,0.140172,-0.155945,-0.052669,-0.251083,-0.174744,0.034548,-0.104055
patchy_infiltrate,0.320165,0.565409,-0.318864,0.690426,-0.086665,1.0,0.016113,0.170312,-0.005239,0.449834,0.496957,0.706763,0.709554,0.433414,0.374691,0.191236,0.426292
lobar_consolidation,0.850099,0.460074,0.378232,0.481983,0.409627,0.016113,1.0,0.807578,0.817419,0.691,0.452671,0.019714,0.133042,-0.668286,-0.711801,-0.694228,-0.632019
dense_segmental_opacity,0.707331,0.496073,0.273513,0.626609,0.356001,0.170312,0.807578,1.0,0.680936,0.757193,0.726092,0.376434,0.438427,-0.220537,-0.355405,-0.305637,-0.193883
parapneumonic_effusion,0.679655,0.393748,0.65312,0.466649,0.568401,-0.005239,0.817419,0.680936,1.0,0.564715,0.230282,-0.005659,-0.070651,-0.530974,-0.494553,-0.558329,-0.514964
round_pneumonia,0.739977,0.767436,0.113934,0.675775,0.075673,0.449834,0.691,0.757193,0.564715,1.0,0.538361,0.581959,0.533594,-0.126285,-0.237382,-0.323672,-0.184934
bilateral_interstitial_pattern,0.509135,0.364182,-0.164416,0.598999,0.140172,0.496957,0.452671,0.726092,0.230282,0.538361,1.0,0.59311,0.792221,0.178059,0.005126,0.07198,0.240544
peribronchial_cuffing,0.296259,0.600947,-0.237388,0.572587,-0.155945,0.706763,0.019714,0.376434,-0.005659,0.581959,0.59311,1.0,0.861698,0.620237,0.49837,0.386417,0.544473
perihilar_infiltrates,0.360033,0.444665,-0.362564,0.563735,-0.052669,0.709554,0.133042,0.438427,-0.070651,0.533594,0.792221,0.861698,1.0,0.484026,0.332142,0.363995,0.46158
clear_lung_fields,-0.377549,0.079551,-0.322023,0.089449,-0.251083,0.433414,-0.668286,-0.220537,-0.530974,-0.126285,0.178059,0.620237,0.484026,1.0,0.924564,0.882857,0.950772
sharp_costophrenic_angles,-0.397228,0.018371,-0.096477,0.016279,-0.174744,0.374691,-0.711801,-0.355405,-0.494553,-0.237382,0.005126,0.49837,0.332142,0.924564,1.0,0.855234,0.885034
normal_cardiac_silhouette,-0.505971,-0.234369,-0.164213,-0.055552,0.034548,0.191236,-0.694228,-0.305637,-0.558329,-0.323672,0.07198,0.386417,0.363995,0.882857,0.855234,1.0,0.90321
symmetric_lung_aeration,-0.392921,-0.032667,-0.272132,0.153034,-0.104055,0.426292,-0.632019,-0.193883,-0.514964,-0.184934,0.240544,0.544473,0.46158,0.950772,0.885034,0.90321,1.0
