concept_id,designed_target,t0_auc,t1_auc,t2_auc,selected_template,selected_prompt,selected_auc
arborizing_vessels,bcc,0.4961,0.4757,0.4002,0,a dermoscopic image showing arborizing tree-like blood vessels,0.4961
asymmetry,mel,0.4791,0.4608,0.4371,0,Dermoscopy of melanoma showing an asymmetric pigmented lesion,0.4791
atypical_pigment_network,mel,0.5494,0.6239,0.4532,1,Dermoscopic image of melanoma demonstrating an irregular broadened pigment network,0.6239
atypical_vascular_pattern,mel,0.4972,0.4603,0.3752,0,Dermoscopy of melanoma showing atypical vascular structures,0.4972
blue_grey_ovoid_nests,bcc,0.3782,0.3456,0.4049,2,a close-up photograph of a lesion with grey-blue oval clusters,0.4049
blue_white_veil,mel,0.4552,0.6069,0.586,1,Dermoscopic image of melanoma demonstrating a confluent blue-whitish structureless area,0.6069
border_irregularity,mel,0.5744,0.5256,0.5607,0,Dermoscopy of melanoma showing irregular and jagged lesion borders,0.5744
central_white_patch,df,0.6538,0.2349,0.538,0,a dermoscopic image showing a central white scar-like patch,0.6538
cerebriform_surface,bkl,0.603,0.5819,0.5404,0,a dermoscopic image with a cerebriform brain-like surface,0.603
colour_variation,mel,0.6412,0.5627,0.6359,0,Dermoscopy of melanoma showing variegated pigmentation with multiple colours,0.6412
comedo_like_openings,bkl,0.653,0.6414,0.5407,0,a dermoscopic image showing comedo-like openings,0.653
diameter_large,mel,0.5769,0.5716,0.5812,2,A large pigmented lesion in dermoscopy of melanoma,0.5812
healthy_skin,nv,0.7231,0.6964,0.5935,0,a dermoscopic image of normal healthy skin,0.7231
irregular_dots_globules,mel,0.6108,0.6243,0.5558,1,Dermoscopic image of melanoma demonstrating asymmetrically distributed pigmented globules,0.6243
irregular_pigmentation,mel,0.5998,0.5755,0.5723,0,Dermoscopy of melanoma showing irregular pigmented blotches,0.5998
irregular_streaks,mel,0.5679,0.409,0.3544,0,Dermoscopy of melanoma showing irregular radial streaks and pseudopods,0.5679
milia_like_cysts,bkl,0.6869,0.5045,0.5529,0,a dermoscopic image showing milia-like cysts,0.6869
red_lacunae,vasc,0.5196,0.3781,0.814,2,a close-up photograph of a vascular lesion with red lake-like areas,0.814
regression_structures,mel,0.4811,0.5789,0.567,1,Dermoscopic image of melanoma demonstrating white scar-like areas and peppering,0.5789
reticular_network,nv,0.6254,0.6553,0.614,1,Dermoscopic image of benign nevus demonstrating an even fine pigment network,0.6553
scaly_surface,akiec,0.4039,0.6384,0.5338,1,a dermatoscopic image showing keratotic scaling,0.6384
strawberry_pattern,akiec,0.5702,0.4936,0.6653,2,a close-up photograph of a facial actinic lesion with red pseudonetwork,0.6653
symmetric_uniform,nv,0.672,0.7397,0.7332,1,Dermoscopic image of benign nevus demonstrating a small round even-coloured lesion,0.7397
ulceration,bcc,0.5775,0.6114,0.6404,2,a close-up photograph of a lesion with an open wound,0.6404
