concept_id,range,curvature
scaly_surface,19.653501510620117,0.5933874621315681
central_white_patch,16.130573272705078,0.6742258781592648
red_lacunae,14.923643112182617,0.5459024885701833
reticular_network,13.378756523132324,1.2392110008853652
diameter_large,11.712835311889648,0.9633421680709188
irregular_pigmentation,11.500616073608398,1.0025002362181792
atypical_pigment_network,9.285805702209473,0.5587753754742281
asymmetry,7.890941143035889,0.8452573794012375
blue_white_veil,7.280940055847168,0.6401612410719588
colour_variation,7.220037460327148,1.2800305921242057
cerebriform_surface,7.212506294250488,0.628513803247547
blue_grey_ovoid_nests,6.645901679992676,0.5989489857991996
comedo_like_openings,6.388858795166016,0.4438417275698064
atypical_vascular_pattern,6.104384422302246,0.31853331342398944
ulceration,5.926295280456543,0.6401086143254882
arborizing_vessels,5.835566997528076,0.5307531979951239
border_irregularity,5.6522650718688965,0.850657180645987
milia_like_cysts,5.433382987976074,0.5665251444735757
irregular_dots_globules,4.488154411315918,0.37851828045901825
symmetric_uniform,4.289045810699463,0.5215302828031704
healthy_skin,4.025765419006348,0.7641743636225061
irregular_streaks,3.8903582096099854,0.47427913350462847
strawberry_pattern,3.5433006286621094,0.7371352827752936
regression_structures,2.8185150623321533,0.23498093113753155
