config_id,hidden,dropout,weight_decay,best_epoch,best_val_balacc,test_balacc,test_macro_f1,test_auc,final_train_loss
1,"[32, 16]",0.1,1e-05,24,0.5851726978438032,0.5189900775235666,0.3722622771916175,0.8438941057794626,1.1949187597084017
2,"[32, 16]",0.1,0.0001,24,0.5897383759014804,0.5177194171868059,0.3711270004679715,0.844193426300322,1.1948336802479786
3,"[32, 16]",0.2,1e-05,21,0.5838144621767993,0.5055514573618486,0.3752272883350799,0.8359670632221885,1.2880418255292418
4,"[32, 16]",0.2,0.0001,21,0.5820607426197035,0.5033749427769572,0.3713246376371484,0.8359403102357813,1.2887281422704797
5,"[32, 32]",0.1,1e-05,19,0.6125996799314055,0.520983864864794,0.40631227205863923,0.8501117710933651,1.164708026795351
6,"[32, 32]",0.1,0.0001,26,0.6128904235298352,0.5346741119839099,0.40982598264154924,0.8466992520706776,1.1669808224360445
7,"[32, 32]",0.2,1e-05,34,0.6116784361769846,0.5280085209881805,0.4085546546955366,0.8470169217354374,1.183090267015998
8,"[32, 32]",0.2,0.0001,34,0.6071761197279125,0.5326102459216101,0.410920545211158,0.8470426891207077,1.1816357801594322
9,"[64, 32]",0.1,1e-05,27,0.6154828461976054,0.5352815942898668,0.41908770260742545,0.8575257746183624,1.0959384699486374
10,"[64, 32]",0.1,0.0001,44,0.61363518140692,0.5398944719259807,0.419630436266377,0.8543858431190384,1.065445405937387
11,"[64, 32]",0.2,1e-05,37,0.6110499720031013,0.5412197171640922,0.40911751078492026,0.8497420709818088,1.1558529900658983
12,"[64, 32]",0.2,0.0001,34,0.6117149253480193,0.5415977727765577,0.40750857326658224,0.8499752097029056,1.1557179689221924
