concept_id,target_class,intended_auc,auc_max,auc_max_class,auc_akiec,auc_bcc,auc_bkl,auc_df,auc_mel,auc_nv,auc_vasc
milia_like_cysts,bkl,0.7157,0.7157,bkl,0.5976,0.506,0.7157,0.3853,0.4443,0.4459,0.0738
central_white_patch,df,0.6906,0.6906,df,0.399,0.4973,0.3894,0.6906,0.2569,0.66,0.561
cerebriform_surface,bkl,0.6879,0.6879,bkl,0.4971,0.4793,0.6879,0.4101,0.4929,0.4507,0.1534
healthy_skin,nv,0.6802,0.6802,nv,0.4085,0.3839,0.4573,0.4709,0.2685,0.6802,0.2162
symmetric_uniform,nv,0.672,0.672,nv,0.2299,0.219,0.4491,0.2415,0.4737,0.672,0.1067
comedo_like_openings,bkl,0.6689,0.6689,bkl,0.5751,0.5001,0.6689,0.3714,0.4705,0.4603,0.0698
scaly_surface,akiec,0.6564,0.6564,akiec,0.6564,0.418,0.6529,0.5922,0.3593,0.5107,0.1048
colour_variation,mel,0.6412,0.6454,bkl,0.4094,0.366,0.6454,0.2313,0.6412,0.449,0.1605
strawberry_pattern,akiec,0.6267,0.6267,akiec,0.6267,0.456,0.4971,0.5603,0.3797,0.5504,0.3905
reticular_network,nv,0.6254,0.6254,nv,0.3439,0.2068,0.5347,0.1947,0.4771,0.6254,0.0372
irregular_dots_globules,mel,0.6108,0.611,bkl,0.3709,0.3251,0.611,0.2006,0.6108,0.4949,0.1444
ulceration,bcc,0.605,0.6521,vasc,0.5571,0.605,0.4954,0.6278,0.4942,0.4577,0.6521
irregular_pigmentation,mel,0.5998,0.5998,mel,0.3845,0.3705,0.5886,0.1969,0.5998,0.501,0.0936
red_lacunae,vasc,0.5989,0.6316,nv,0.5201,0.4987,0.4091,0.5675,0.2692,0.6316,0.5989
diameter_large,mel,0.5769,0.6087,nv,0.2302,0.2621,0.4498,0.251,0.5769,0.6087,0.2171
border_irregularity,mel,0.5744,0.5744,mel,0.3178,0.3601,0.5066,0.2905,0.5744,0.5464,0.2505
irregular_streaks,mel,0.5679,0.5679,mel,0.3264,0.2999,0.5325,0.2569,0.5679,0.5562,0.1752
atypical_pigment_network,mel,0.5494,0.5759,nv,0.3583,0.2846,0.5292,0.1575,0.5494,0.5759,0.0707
arborizing_vessels,bcc,0.5021,0.7007,akiec,0.7007,0.5021,0.5746,0.4692,0.4547,0.4739,0.2626
atypical_vascular_pattern,mel,0.4972,0.5727,nv,0.423,0.397,0.4696,0.2851,0.4972,0.5727,0.2767
regression_structures,mel,0.4811,0.5357,nv,0.4382,0.4674,0.5346,0.3409,0.4811,0.5357,0.1954
asymmetry,mel,0.4791,0.6694,nv,0.1944,0.2982,0.3966,0.2991,0.4791,0.6694,0.2402
blue_white_veil,mel,0.4552,0.6351,nv,0.2601,0.4005,0.4088,0.4121,0.4552,0.6351,0.2727
blue_grey_ovoid_nests,bcc,0.4452,0.5951,mel,0.4022,0.4452,0.5385,0.3499,0.5951,0.4896,0.2444
