concept_id,tier,t1_auc_max,t2_auc_max,t3_auc_max,best_template,best_auc
asymmetry,1,0.6203277747244719,0.6306302936456023,0.6448832377442552,t3,0.6448832377442552
border_irregularity,1,0.6602917784963349,0.5739993843748665,0.6033300514978432,t1,0.6602917784963349
colour_variation,1,0.7118848408228939,0.5974144938555498,0.6232287430907247,t1,0.7118848408228939
diameter_large,1,0.631776863846536,0.5903228983327826,0.5845152717741917,t1,0.631776863846536
atypical_pigment_network,2,0.5821691316960121,0.6158983153619123,0.6240993918489097,t3,0.6240993918489097
blue_white_veil,2,0.62844403065594,0.6002621815664246,0.7367475002873232,t3,0.7367475002873232
atypical_vascular_pattern,2,0.5860801495595371,0.6322832583681186,0.6749580507987588,t3,0.6749580507987588
irregular_streaks,2,0.687695807286574,0.5571561996345025,0.7016624337170384,t3,0.7016624337170384
irregular_pigmentation,2,0.6245130281563502,0.655245218860214,0.6491264079860993,t2,0.655245218860214
irregular_dots_globules,2,0.5902821212458387,0.6061290992845242,0.6054599781847854,t2,0.6061290992845242
regression_structures,2,0.5968676383484725,0.6247007221723953,0.6342684748879439,t3,0.6342684748879439
symmetric_uniform,3,0.6682960993924109,0.6239325956508937,0.6141179617553774,t1,0.6682960993924109
reticular_network,3,0.5947882527710155,0.6030128261324018,0.6294793701873348,t3,0.6294793701873348
arborizing_vessels,3,0.5972720725915036,0.5475061844555522,0.5996627478516341,t3,0.5996627478516341
blue_grey_ovoid_nests,3,0.6112906562464084,0.5932689601097717,0.727031375703942,t3,0.727031375703942
ulceration,3,0.55069701774439,0.567752411924302,0.7031421675669465,t3,0.7031421675669465
scaly_surface,3,0.5797264682220434,0.5729103446376831,0.5340428967930173,t1,0.5797264682220434
strawberry_pattern,3,0.6629243765084474,0.6114875059848541,0.6324528994791772,t1,0.6629243765084474
milia_like_cysts,3,0.6714722445695898,0.5949379794907761,0.6343724859211586,t1,0.6714722445695898
comedo_like_openings,3,0.6265879180687521,0.6199312781400534,0.610897597977244,t1,0.6265879180687521
cerebriform_surface,3,0.5054900499693171,0.6180232546704341,0.5597658980765298,t2,0.6180232546704341
central_white_patch,3,0.663207147039717,0.5936466699485021,0.6557154350074704,t1,0.663207147039717
red_lacunae,3,0.6330858399475805,0.625892003167196,0.6460993853863912,t3,0.6460993853863912
healthy_skin,3,0.5433427419173562,0.5853844102698973,0.577964315096668,t2,0.5853844102698973
